Corr.,Linear reg,MIC,RF,RFE,Ridge,Mean,Features
0.06,0.02,0.62,0.15,0.32,0.06,0.1,sex
1.0,0.01,0.73,1.0,0.03,1.0,0.86,weight.challenge
0.4,0.0,0.72,0.22,0.0,0.48,0.31,weight
0.0,0.12,0.72,0.36,0.35,0.12,0.23,ch.weight
0.31,0.0,0.55,0.55,0.1,0.5,0.41,pch.weight
0.07,0.12,0.59,0.38,0.39,0.37,0.38,hr.post.challenge 
0.27,0.01,0.92,0.98,0.13,0.44,0.35,score.overall
0.29,0.03,1.0,0.61,0.19,0.45,0.37,score.left
0.26,0.22,0.99,0.23,0.45,0.4,0.33,score.right
0.92,0.33,0.73,0.97,0.26,0.15,0.53,rights.mobile.overall
0.12,0.35,0.23,0.06,0.29,0.03,0.17,rights.shakey.overall
0.0,0.05,0.39,0.18,0.84,0.01,0.11,rights.lethargic.overall
0.01,0.18,0.11,0.03,0.16,0.02,0.07,rights.nonmobile.overall
0.24,0.39,0.32,0.08,0.87,0.13,0.28,fail_to_right.one.side.overall
0.02,0.35,0.16,0.05,0.94,0.01,0.11,fail_to_right.mobile.hips.over
0.47,0.47,0.2,0.03,1.0,0.12,0.33,fail_to_right.lethargic.hips.overall
0.11,0.96,0.0,0.0,1.0,0.01,0.06,fail_to_right.lethargic.two.visits.overall
0.67,0.87,0.22,0.0,1.0,0.1,0.45,fail_to_right.nonmobile.hips.overall
0.08,0.22,0.86,0.0,1.0,0.12,0.17,rights.mobile.left
0.0,0.43,0.35,0.04,0.61,0.02,0.19,rights.shakey.left
0.0,0.58,0.45,0.08,0.68,0.03,0.27,rights.lethargic.left
0.07,0.98,0.32,0.06,0.97,0.1,0.21,rights.nonmobile.left
0.06,0.8,0.35,0.01,0.74,0.07,0.21,rights.only.left
0.04,0.2,0.35,0.02,0.9,0.04,0.12,fail_to_right.mobile.hips.left
0.24,0.41,0.45,0.03,0.58,0.17,0.32,fail_to_right.lethargic.hips.left
0.03,0.26,0.28,0.0,0.65,0.03,0.15,fail_to_right.lethargic.two.visits.left
0.13,0.45,0.45,0.0,0.52,0.09,0.29,fail_to_right.nonmobile.hips.left
0.08,0.0,0.86,0.02,0.23,0.12,0.1,rights.mobile.right
0.0,0.04,0.36,0.04,0.06,0.0,0.04,rights.shakey.right
0.0,0.46,0.44,0.06,0.81,0.03,0.25,rights.lethargic.right
0.06,0.45,0.31,0.03,0.71,0.09,0.2,rights.nonmobile.right
0.07,0.55,0.34,0.02,1.0,0.09,0.22,rightss.only.right
0.04,0.42,0.37,0.06,0.48,0.04,0.21,fail_to_right.mobile.hips.right
0.23,0.52,0.43,0.03,0.55,0.16,0.33,fail_to_right.lethargic.hips.right
0.03,0.26,0.28,0.01,0.77,0.03,0.15,fail_to_right.lethargic.two.visits.right
0.13,1.0,0.45,0.01,0.42,0.09,0.28,fail_to_right.nonmobile.hips.right
